"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos";"latitude";"longitude";"regional";"delegacia";"uop"
751451;2026-02-10;"terça-feira";"18:50:00";"ES";101;269,5;"SERRA";"Reação tardia ou ineficiente do condutor";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Múltipla";"Reta";"Não";1;0;1;0;0;0;1;1;-20,22191667;-40,26989667;"SPRF-ES";"DEL02-ES";"UOP01-DEL02-ES"
751452;2026-02-10;"terça-feira";"19:40:00";"ES";101;289,4;"CARIACICA";"Manobra de mudança de faixa";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Dupla";"Reta;Aclive";"Sim";2;0;1;0;1;0;1;2;-20,28359029;-40,3931601;"SPRF-ES";"DEL01-ES";"UOP01-DEL01-ES"
751456;2026-02-10;"terça-feira";"18:10:00";"SC";480;132,6;"CHAPECO";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Com Vítimas Feridas";"Anoitecer";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";2;0;1;0;1;0;1;2;-27,06767667;-52,62876034;"SPRF-SC";"DEL07-SC";"UOP01-DEL07-SC"
751457;2026-02-10;"terça-feira";"17:15:00";"PR";376;254;"CALIFORNIA";"Reação tardia ou ineficiente do condutor";"Queda de ocupante de veículo";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";1;0;1;0;0;0;1;1;-23,656791;-51,373552;"SPRF-PR";"DEL07-PR";"UOP03-DEL07-PR"
751458;2026-02-10;"terça-feira";"19:00:00";"RO";364;453;"ARIQUEMES";"Velocidade Incompatível";"Saída de leito carroçável";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Nublado";"Simples";"Reta";"Não";1;0;1;0;0;0;1;1;-10,279752;-62,680855;"SPRF-RO";"DEL03-RO";"UOP02-DEL03-RO"
751461;2026-02-10;"terça-feira";"20:50:00";"RJ";101;481;"ANGRA DOS REIS";"Reação tardia ou ineficiente do condutor";"Colisão frontal";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Chuva";"Simples";"Reta";"Sim";2;0;1;0;1;0;1;2;-23,008634;-44,29266363;"SPRF-RJ";"DEL03-RJ";"UOP03-DEL03-RJ"
751462;2026-02-10;"terça-feira";"18:06:00";"MT";364;241;"JUSCIMEIRA";"Chuva";"Saída de leito carroçável";"Sem Vítimas";"Pleno dia";"Decrescente";"Chuva";"Dupla";"Declive;Curva";"Não";1;0;0;0;1;0;0;1;-16,168638;-54,793128;"SPRF-MT";"DEL02-MT";"UOP01-DEL02-MT"
751463;2026-02-10;"terça-feira";"19:00:00";"CE";222;237;"SOBRAL";"Condutor Dormindo";"Colisão frontal";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Reta";"Não";6;0;3;0;2;1;3;3;-3,7251504;-40,4649413;"SPRF-CE";"DEL04-CE";"UOP01-DEL04-CE"
751464;2026-02-10;"terça-feira";"21:30:00";"GO";60;95,5;"ANAPOLIS";"Pedestre andava na pista";"Atropelamento de Pedestre";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Garoa/Chuvisco";"Dupla";"Reta";"Sim";3;0;0;1;2;0;1;2;-16,36916;-48,940133;"SPRF-GO";"DEL02-GO";"UOP01-DEL02-GO"
751466;2026-02-10;"terça-feira";"21:40:00";"PB";101;43,5;"MAMANGUAPE";"Animais na Pista";"Atropelamento de Animal";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Dupla";"Declive;Reta";"Não";1;0;0;1;0;0;1;1;-6,869427;-35,132712;"SPRF-PB";"DEL01-PB";"UOP03-DEL01-PB"
